gauge_id,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,hfd_mean
1466500,0.853262,0.241046,0.969017,0.837327,0.225542,0.395636,1.637114,0.2,2.0,0.0,0.0,0.0,181.15
10244950,0.456547,0.34579,0.806192,0.834,1.466961,0.182192,1.214612,2.0,20.0,0.0,0.0,0.0,218.7
10172800,1.368262,0.703951,1.174732,0.723371,1.489173,0.375716,4.86221,6.7,4.785714,0.0,0.0,0.0,235.0
9378630,0.210643,0.133275,0.168888,0.497448,4.293214,0.0,1.338338,87.1,35.55102,277.15,108.686275,0.384394,210.45
13018300,1.000693,0.448945,0.955965,0.688058,1.406788,0.245534,3.683017,9.4,9.894737,7.35,7.736842,0.0,246.75
9066300,0.842999,0.334279,0.628997,0.467679,1.630506,0.036257,5.044486,57.55,41.107143,191.3,34.160714,0.001506,253.5
9047700,0.670295,0.330057,0.750826,0.659172,1.863735,0.166081,2.59501,12.0,12.0,1.9,5.428571,0.0,238.0
10023000,0.213161,0.137474,1.322857,0.83438,1.960735,0.035361,0.669989,3.7,10.571429,27.6,12.837209,0.0,201.05
13083000,0.247989,0.160782,0.673432,0.837022,0.76492,0.137778,0.532743,0.0,0.0,1.05,7.0,0.0,197.95
10310500,0.328793,0.223491,1.427498,0.808386,1.206247,0.069389,0.929315,0.55,2.75,13.85,10.259259,0.0,168.75
1484100,0.996853,0.300142,1.404818,0.708419,1.303015,0.152231,2.365023,2.4,1.454545,27.85,13.925,0.0,175.6
9034900,1.637315,0.633095,1.041599,0.523481,1.032943,0.109431,8.598189,57.0,26.511628,171.4,83.609756,0.0,260.85
8271000,1.128969,0.666433,1.080236,0.692206,1.657163,0.245943,4.136317,9.05,13.923077,10.75,6.71875,0.0,234.65
4105700,1.072899,0.38312,0.916275,0.814047,-0.023819,0.549007,1.871615,0.0,0.0,0.0,0.0,0.0,173.7
10249300,0.331079,0.513647,0.802938,0.630474,1.406305,0.045812,1.41336,21.95,20.904762,50.85,15.646154,0.0,222.85
9066000,1.222148,0.538535,0.47991,0.502968,1.694216,0.150977,6.869435,44.5,35.6,119.25,19.390244,0.0,245.8
9066200,1.717065,0.647893,0.858187,0.503169,1.066786,0.11701,9.391203,58.65,27.27907,180.4,40.539326,0.0,248.85
1118300,2.129575,0.546405,2.217869,0.559172,0.382857,0.059039,6.612366,3.5,1.372549,89.5,11.776316,0.0,155.4
1486000,1.254533,0.383132,1.778185,0.52055,1.517864,0.083157,4.157865,8.4,1.826087,92.55,19.082474,0.0,161.65
8267500,0.879732,0.524049,1.050582,0.692315,2.452094,0.203331,3.304122,12.2,13.555556,7.5,3.061224,0.0,234.65
9035900,1.1345,0.475192,0.717729,0.611369,1.287822,0.235118,5.206195,29.65,17.441176,14.6,16.222222,0.0,253.4
7083000,1.190175,0.571181,1.27127,0.597458,1.319386,0.120799,5.315141,37.2,13.052632,127.25,45.446429,0.0,260.4
12073500,1.69769,0.42342,0.919668,0.655809,1.62103,0.549582,4.996198,7.5,2.5,0.0,0.0,0.0,134.3
10172700,0.11813,0.085274,0.89747,0.875909,1.031798,0.04898,0.241404,1.2,2.666667,0.05,1.0,0.0,187.3
10205030,0.251824,0.152966,0.874908,0.702348,1.613689,0.079977,0.817949,6.4,7.111111,0.9,9.0,0.0,229.8
2102908,1.346296,0.401272,1.032711,0.72982,0.495562,0.44641,2.976068,1.0,1.111111,2.45,4.083333,0.0,167.2
1139800,1.811683,0.548411,1.543569,0.607173,1.747615,0.246804,5.579909,2.15,1.869565,37.25,7.163462,0.0,190.2
2235200,0.492074,0.131447,1.720737,0.656615,2.406978,0.034517,1.799799,14.75,14.75,90.1,50.055556,0.0,183.25
6311000,0.609807,0.418661,0.675098,0.518766,1.50773,0.067927,3.116657,44.0,14.666667,147.2,36.8,0.0,239.0
9065500,1.921686,0.747626,0.888422,0.529511,1.445633,0.142469,9.972807,55.55,27.775,164.1,51.28125,0.0,253.65
1542810,1.599205,0.467258,1.66786,0.386466,1.419626,0.041315,6.287088,18.55,2.348101,119.45,14.656442,0.0,157.8
8377900,0.635229,0.310958,1.150075,0.540694,1.800417,0.077429,2.727607,21.9,13.272727,74.7,12.554622,0.0,237.45
9210500,0.375007,0.2712,0.893422,0.680548,1.730503,0.092136,1.455747,13.05,10.038462,4.35,4.142857,0.0,229.4
9312600,0.273065,0.172379,0.648421,0.505896,3.585494,0.021297,1.315431,40.85,24.757576,163.0,28.347826,0.003422,217.55
3357350,1.181482,0.366902,1.408851,0.323202,1.556128,0.0,4.103933,24.65,2.088983,152.05,17.680233,0.105544,167.1
10316500,1.688926,0.763523,0.684407,0.511318,1.689118,0.109526,9.253026,65.65,41.03125,207.5,59.285714,0.0,245.85
10343500,0.952035,0.370746,0.931101,0.589456,1.888611,0.132966,4.16627,28.45,14.973684,77.4,29.207547,0.0,208.55
8269000,0.403643,0.261167,0.877477,0.624502,1.933779,0.059939,1.738242,22.85,14.741935,45.9,9.367347,0.0,220.6
6409000,0.181761,0.104855,1.291234,0.866768,1.32429,0.073875,0.393206,0.2,1.333333,0.1,1.0,0.0,205.0
10234500,0.47744,0.268353,0.853857,0.701975,1.887009,0.155226,1.541916,10.25,15.769231,0.0,0.0,0.0,233.0
9404450,0.178419,0.132117,1.227472,0.780084,1.311828,0.057056,0.405734,3.75,10.714286,0.0,0.0,0.0,161.65
12447390,1.365544,0.533608,0.878397,0.53402,0.866057,0.122118,7.108123,48.8,26.378378,146.5,33.295455,0.0,241.3
6291500,0.491118,0.31438,0.692599,0.634138,0.525626,0.112249,2.020479,16.4,9.371429,11.8,5.756098,0.0,244.65
4127997,1.07498,0.425966,0.453026,0.882037,1.126499,0.75834,1.657299,0.0,0.0,0.0,0.0,0.0,182.25
1073000,1.703194,0.486207,1.780107,0.501892,2.278789,0.065815,5.784236,7.85,2.211268,96.0,12.467532,0.0,168.75
10173450,0.413635,0.246292,0.867717,0.580574,1.815287,0.030977,1.794866,26.653649,20.5,95.463068,27.666667,0.0,229.65
6447500,0.072083,0.050156,1.244267,0.666652,1.16838,0.019239,0.192385,2.35,2.611111,5.7,10.363636,0.0,186.75
4043050,1.248434,0.602347,0.697556,0.547396,0.402167,0.287382,4.43845,13.6,4.610169,7.9,7.52381,0.0,196.65
1162500,1.835881,0.485229,1.868461,0.508575,1.153614,0.088591,6.348989,6.45,2.632653,85.15,14.191667,0.0,168.15
6622700,1.179925,0.52275,0.40743,0.483847,1.386011,0.180952,6.94064,42.9,23.833333,113.15,10.879808,0.0,242.4
10259000,0.287811,0.274548,1.032214,0.717717,0.897685,0.044661,0.806085,6.55,5.458333,27.5,13.414634,0.0,150.55
11180500,0.281479,0.189127,0.119132,0.314548,2.969277,0.0,1.408391,142.0,16.511628,267.25,53.45,0.611225,138.3
4063700,0.663597,0.288441,1.170933,0.623243,1.515744,0.168697,2.132327,4.05,5.785714,3.15,4.2,0.0,208.3
3450000,1.898413,0.463638,1.802871,0.592268,1.653875,0.173762,5.039112,2.35,1.62069,57.55,10.369369,0.0,173.05
6278300,1.259971,0.651512,0.569918,0.42705,1.553831,0.087303,7.017535,48.25,20.104167,188.8,49.684211,0.0,248.35
4057800,1.058376,0.42499,1.26956,0.552725,1.078621,0.183699,3.859791,12.85,5.14,30.05,8.838235,0.0,201.1
9223000,0.571646,0.329655,0.688272,0.54948,2.094432,0.05875,2.783287,42.25,18.369565,120.55,17.992537,0.0,235.65
4057510,0.873568,0.370732,1.308237,0.650659,1.366487,0.249013,2.607917,2.05,3.727273,0.2,4.0,0.0,191.25
3026500,1.746184,0.493333,1.902331,0.505318,1.26496,0.095165,5.541235,5.5,1.71875,74.2,11.074627,0.0,158.55
13161500,0.222197,0.162175,1.116571,0.6085,2.088587,0.014142,0.994876,44.2,18.040816,126.05,24.715686,0.0,211.8
6332515,0.041206,0.034008,0.103355,0.129602,1.502379,0.000128,0.077681,34.95,7.132653,302.55,50.008264,0.045859,193.4
12147600,9.503108,1.080827,1.656373,0.468625,0.880915,0.796479,29.435091,7.7,1.604167,66.7,11.6,0.0,144.05
6623800,1.431322,0.498984,0.607237,0.527019,1.641115,0.195559,7.725891,44.95,29.0,100.15,16.974576,0.0,247.45
1123000,1.737335,0.454295,1.808908,0.585542,0.96314,0.216845,5.028286,4.55,1.4,58.1,9.149606,0.0,159.1
14138800,6.510736,0.842296,1.818519,0.45787,1.092871,0.252817,23.557914,12.8,1.910448,107.65,24.191011,0.0,135.85
4074950,0.825172,0.347896,0.953964,0.782622,0.546631,0.381539,1.813526,0.0,0.0,0.0,0.0,0.0,199.2
9492400,0.582409,0.328068,0.987025,0.650654,1.685788,0.130894,2.234679,13.5,6.585366,8.95,4.589744,0.0,212.7
11141280,0.439204,0.233165,0.812601,0.595576,1.809469,0.054358,1.630748,19.7,7.72549,69.05,27.62,0.0,148.85
6289000,0.718148,0.417089,0.7448,0.703615,1.379313,0.24919,2.501242,8.9,7.12,1.0,1.666667,0.0,242.7
1669000,0.959165,0.300023,1.897945,0.668812,1.425873,0.068112,2.513325,2.35,1.740741,48.45,11.535714,0.003696,169.15
7301410,0.04116,0.024353,1.521156,0.661661,1.551906,0.001526,0.098541,2.5,2.0,72.1,26.703704,0.000411,179.8
12117000,5.1086,0.784869,1.617895,0.697623,1.278876,1.145554,12.819292,1.35,1.5,5.9,5.130435,0.0,143.7
10336660,2.778327,0.744624,1.558096,0.547357,1.441653,0.12315,12.807577,60.9,16.916667,178.35,69.941176,0.0,222.6
5120500,0.040408,0.030803,0.716965,0.465859,3.953147,0.0,0.200609,57.2,26.604651,211.0,50.238095,0.055168,218.6
2324400,0.455489,0.118258,1.791389,0.49936,3.093108,0.007217,2.054196,59.15,18.2,187.4,50.648649,0.0,200.45
2312200,0.39044,0.108662,0.941434,0.554751,6.240501,0.0,2.241373,80.85,50.53125,216.7,68.793651,0.125394,197.0
6221400,1.462905,0.94342,2.335132,0.633987,0.513287,0.057976,5.421804,75.9,15.489796,175.85,66.358491,0.0,278.95
1487000,1.304607,0.390713,1.667765,0.744017,1.317448,0.274148,3.067847,0.8,1.333333,12.25,6.805556,0.0,173.35
11284400,0.531312,0.188246,0.501697,0.264293,2.30931,0.0,2.052496,100.45,22.573034,249.4,55.422222,0.365777,146.2
6632400,1.101506,0.490343,0.454244,0.465671,1.361311,0.11408,6.634679,51.1,30.058824,193.2,28.20438,0.0,246.45
6037500,1.111145,0.461856,0.568736,0.881091,0.806472,0.764657,2.115405,0.0,0.0,0.0,0.0,0.0,211.3
1613050,1.238652,0.401052,1.694799,0.418223,2.081063,0.009646,4.99838,25.45,3.221519,139.15,17.39375,0.010404,163.8
10258000,0.282084,0.256122,0.926413,0.614251,1.631062,0.0,1.567959,60.55,29.536585,204.9,66.096774,0.281862,176.7
2310947,0.45164,0.120091,1.170247,0.482623,5.061899,0.0,2.60944,96.1,34.945455,213.05,83.54902,0.183984,222.5
2381600,3.6956,0.865166,1.282992,0.621848,1.846121,0.426728,9.719922,4.75,1.557377,36.5,9.012346,0.0,171.7
11475560,3.644829,0.70553,1.3084,0.442188,1.415628,0.102001,15.70821,48.95,8.981651,178.15,47.506667,0.0,136.25
14158500,4.472458,0.771348,1.279542,0.820739,1.102299,1.774975,9.553904,0.0,0.0,0.0,0.0,0.0,183.45
11253310,0.066322,0.056492,0.464076,0.376217,2.755743,0.0,0.264077,139.4,41.61194,250.15,80.693548,0.471184,151.05
1142500,1.723016,0.519815,1.466223,0.571788,1.506497,0.178647,5.359421,5.75,2.12963,41.5,9.325843,0.0,181.15
4124000,1.15752,0.467783,0.491013,0.886909,0.413931,0.823293,1.821058,0.0,0.0,0.0,0.0,0.0,183.55
11230500,1.719287,0.851821,1.145416,0.5809,1.060307,0.102896,7.895906,35.4,10.892308,116.0,24.946237,0.0,244.0
1485500,0.917682,0.283185,1.826515,0.476673,1.743402,0.034571,3.266941,12.35,2.806818,106.85,15.264286,0.0,160.05
6339100,0.051601,0.044654,0.328551,0.163825,2.62418,0.0,0.124839,36.35,8.759036,261.3,40.828125,0.06037,189.1
8378500,0.587627,0.300371,1.162534,0.611704,1.781633,0.10447,2.352223,17.35,13.346154,29.5,7.662338,0.0,232.65
4296000,1.838227,0.508458,1.441415,0.522731,1.461478,0.291461,6.306901,6.2,2.755556,30.9,8.828571,0.0,181.4
1658500,0.956239,0.29714,1.282838,0.37539,1.903958,0.013915,3.289088,17.65,1.476987,125.75,12.033493,0.009719,162.7
6431500,0.376538,0.191605,1.060312,0.880857,1.219152,0.194764,0.65876,0.35,2.333333,0.0,0.0,0.0,202.55
6344600,0.051664,0.045442,0.288788,0.163255,2.42997,0.0,0.121569,39.5,9.404762,266.45,39.768657,0.108966,196.75
14158790,5.184503,0.853038,2.29111,0.526837,1.409138,0.23519,17.488462,8.65,2.217949,118.9,44.037037,0.0,155.75
5393500,0.985497,0.412614,1.092066,0.409539,1.73902,0.08213,4.115361,26.15,4.547826,98.75,16.056911,0.0,203.8
1333000,2.06809,0.558243,1.56615,0.552807,1.580211,0.218133,6.631232,4.6,1.508197,50.6,10.019802,0.0,165.9
12115500,6.79808,0.949405,1.821825,0.530137,1.234609,0.591913,20.012311,4.95,1.706897,75.85,15.802083,0.0,144.6
10396000,0.554649,0.355467,1.061477,0.657176,1.494743,0.13415,1.946565,14.5,4.603175,9.05,3.693878,0.0,219.55
11274630,0.103055,0.081833,0.575711,0.361505,4.218504,0.0,0.40463,144.85,61.638298,242.6,85.122807,0.428611,146.7
3076600,1.779246,0.486973,1.79888,0.497186,1.485533,0.104085,6.375691,9.95,1.95098,96.0,11.779141,0.0,162.45
9081600,1.640918,0.612676,1.116771,0.607648,1.515937,0.226069,7.290726,39.05,15.938776,88.4,12.905109,0.0,249.45
8324000,0.141263,0.092233,0.695164,0.640325,0.883593,0.028356,0.591415,19.9,9.707317,15.0,3.797468,0.0,200.25
10242000,0.405115,0.354601,0.701544,0.572982,1.704902,0.082064,1.570948,22.05,10.255814,16.1,6.44,0.0,220.9
5123400,0.053758,0.039753,0.516183,0.435889,5.463438,0.0,0.322028,157.35,92.558824,247.05,93.226415,0.476112,233.3
11237500,1.878415,0.641425,1.095254,0.487675,1.654297,0.007771,9.603075,85.45,37.152174,212.3,67.396825,0.000274,220.0
1545600,1.517911,0.448479,1.750192,0.514876,1.069583,0.065242,5.072567,6.85,2.634615,84.6,17.443299,0.0,164.35
6224000,1.346474,0.910373,1.782912,0.60444,0.886555,0.080735,5.651455,50.05,16.409836,157.05,46.880597,0.0,265.2
3011800,1.931475,0.538101,1.840614,0.548835,1.742133,0.180866,5.812145,3.5,1.521739,62.45,11.354545,0.0,155.6
5087500,0.333378,0.203683,0.736573,0.30275,2.370859,0.000122,1.628824,75.75,18.9375,224.8,67.104478,0.048323,228.25
1134500,2.077579,0.599173,1.408166,0.487598,1.107875,0.238225,7.096611,9.05,2.154762,46.15,6.88806,0.0,187.55
4040500,1.07219,0.439473,1.235266,0.504176,2.124905,0.104896,4.258765,16.85,6.127273,57.35,13.987805,0.0,199.3
3460000,2.182169,0.488063,1.283883,0.687018,1.51765,0.520056,5.258346,1.8,1.384615,12.2,7.870968,0.0,169.55
7208500,0.214324,0.129214,0.912485,0.616964,2.645597,0.033805,0.799032,17.1,13.153846,31.75,5.990566,0.0,215.75
1414500,2.239578,0.562712,1.746363,0.530299,1.161063,0.163232,6.711475,5.45,1.703125,59.55,13.087912,0.0,159.65
8380500,0.285584,0.163351,1.192768,0.553972,2.137646,0.034588,1.035156,15.45,5.618182,60.15,12.27551,0.0,230.4
2300700,1.507616,0.386916,0.799178,0.362892,1.949837,0.08946,4.970021,17.6,2.885246,82.3,9.247191,0.001095,245.85
6464500,0.084502,0.054643,1.264539,0.630291,1.908287,0.015952,0.256073,7.95,4.818182,22.2,16.444444,0.0,196.0
11224500,0.064715,0.049511,0.254644,0.340042,4.213571,0.0,0.276851,147.65,59.06,273.7,81.701493,0.474606,155.2
1557500,1.599418,0.507253,1.768912,0.53044,1.624764,0.12095,5.495777,7.8,1.902439,87.5,13.257576,0.0,165.2
14141500,5.60444,0.757047,1.988592,0.562321,0.829073,0.531242,17.612729,3.15,1.575,84.6,18.193548,0.0,135.3
4122200,1.054248,0.399502,0.898938,0.828458,0.208668,0.567137,2.023487,0.0,0.0,0.0,0.0,0.0,175.5
1516500,1.029183,0.323374,1.62471,0.416854,1.201384,0.023316,3.575047,15.75,2.142857,122.15,14.121387,0.0,158.45
1121000,1.958341,0.526494,1.940049,0.536306,1.166044,0.080101,6.025019,5.9,1.475,85.0,9.883721,0.0,156.35
2349900,0.821029,0.242086,1.447793,0.46582,1.846555,0.059736,2.923067,22.6,2.897436,135.35,17.025157,0.0,161.1
12390700,1.131199,0.372709,1.519224,0.652728,1.716313,0.1769,4.123845,13.4,6.7,58.3,36.4375,0.0,216.25
9352900,1.842552,0.729914,1.582532,0.597099,1.433802,0.208053,7.435301,19.2,6.095238,94.65,23.37037,0.0,244.0
4197100,0.928911,0.336742,1.089631,0.274611,1.409953,0.006932,4.638416,44.25,3.339623,167.35,16.569307,0.0,159.9
1078000,1.755803,0.492803,1.499491,0.491189,1.526654,0.145171,6.61629,12.05,3.050633,69.55,12.419643,0.0,180.7
3049800,1.077025,0.355803,1.756742,0.42467,2.125872,0.042721,3.779129,15.7,1.857988,117.75,8.037543,0.0,165.1
1415000,1.809878,0.479676,1.769991,0.50984,1.26267,0.102857,5.657152,5.6,1.931034,76.35,11.568182,0.0,160.85
1139000,1.697473,0.541537,1.507105,0.57217,2.162962,0.268167,5.343473,4.15,1.693878,35.15,6.632075,0.0,183.4
12488500,2.721311,0.573393,1.747997,0.635058,1.367065,0.429287,9.09372,6.15,4.1,47.5,17.592593,0.0,218.0
13011500,1.627309,0.668579,0.484815,0.518726,1.491635,0.19375,8.779288,48.65,24.948718,132.35,16.54375,0.0,239.4
4122500,1.084942,0.415061,0.849741,0.839462,0.139151,0.597404,2.032832,0.0,0.0,0.0,0.0,0.0,177.8
13331500,1.742409,0.633163,1.551205,0.622529,1.118655,0.237175,6.561833,17.7,6.321429,67.45,10.067164,0.0,233.4
3504000,3.682262,0.657177,1.391958,0.720317,1.873374,0.85481,8.384414,0.6,1.090909,9.8,8.166667,0.0,165.6
12145500,3.902001,0.682938,1.80427,0.516595,1.33341,0.340749,13.283003,8.4,1.909091,96.85,17.609091,0.0,121.7
3028000,1.980925,0.571807,1.835191,0.518664,1.803059,0.167043,6.311196,4.7,1.773585,71.0,9.16129,0.0,158.65
1549500,1.511147,0.453495,1.660702,0.471684,1.00829,0.05772,5.064303,11.4,2.375,94.2,13.083333,0.0,154.6
14020000,1.643895,0.623462,2.139854,0.610046,1.147342,0.286627,5.453077,9.6,3.0,68.4,19.0,0.0,180.05
10258500,0.047011,0.057129,0.0,0.298106,1.66958,0.0,0.141825,121.9,38.09375,295.45,92.328125,0.666256,142.352941
1567500,1.296614,0.403573,1.460069,0.553409,1.645362,0.220867,3.975606,8.55,1.8,41.25,7.568807,0.0,162.85
5057200,0.063088,0.043456,0.790822,0.393806,3.011542,0.000606,0.241133,43.4,17.019608,200.35,45.022472,0.021629,207.95
13313000,1.413739,0.389408,0.755911,0.573368,1.430265,0.235105,6.391381,39.0,18.571429,51.6,6.745098,0.0,236.85
13011900,1.469536,0.61659,0.799578,0.615791,1.294477,0.287224,6.548711,29.5,11.132075,24.4,3.753846,0.0,254.3
4233000,1.171887,0.408264,1.65217,0.553734,1.136117,0.125124,3.460879,6.05,1.779412,63.75,8.614865,0.0,167.05
5454000,0.767956,0.279561,1.506135,0.448067,2.538913,0.004865,2.544618,17.05,2.351724,127.3,19.0,0.012868,209.6
10259200,0.062949,0.095763,0.148857,0.270435,1.570995,0.0,0.166981,127.0,49.803922,288.95,115.58,0.496509,168.789474
14138900,8.045372,0.900243,1.642391,0.557561,1.069642,1.241344,25.819949,5.6,1.647059,57.55,14.036585,0.0,133.15
1439500,2.027364,0.550427,1.673747,0.584467,1.160537,0.119977,5.854889,3.25,2.321429,56.75,15.985915,0.0,156.1
10263500,0.761293,0.575706,0.933561,0.671348,1.741051,0.065835,3.332873,26.6,15.647059,102.95,34.898305,0.0,171.55
5056000,0.058622,0.045068,1.196534,0.452931,2.186267,0.001006,0.226843,40.9,15.433962,178.6,47.626667,0.0,217.6
4059500,0.659664,0.302179,1.344446,0.5272,1.832752,0.070234,2.602806,16.85,8.868421,67.9,25.148148,0.0,200.4
13023000,1.242943,0.527242,1.134504,0.707864,1.173679,0.315842,4.295452,6.7,6.7,0.75,1.5,0.0,239.55
10329500,0.181439,0.133455,0.863042,0.606473,2.138848,0.029067,0.774042,30.3,11.433962,65.15,16.922078,0.0,203.85
1552500,1.982566,0.547204,1.603361,0.484828,1.182489,0.108934,6.092231,6.9,1.550562,72.55,10.29078,0.0,149.15
3500240,2.313884,0.459279,1.383909,0.705216,1.824594,0.519977,5.682845,1.45,1.318182,11.1,10.571429,0.0,166.85
1451800,1.759909,0.502371,1.581601,0.477158,1.548397,0.135441,5.903912,10.0,2.0,73.35,9.16875,0.0,153.5
2149000,1.519838,0.397697,1.220413,0.699589,2.35148,0.360055,3.684566,2.55,1.159091,9.9,7.615385,0.0,173.6
4045500,1.080909,0.421555,1.273806,0.641212,0.874036,0.288271,3.479752,2.0,8.0,3.2,10.666667,0.0,191.7
5593900,0.827437,0.289131,0.689944,0.185274,3.663357,0.0,3.565995,44.5,2.996633,219.1,17.117188,0.051335,174.95
2143040,1.682994,0.41598,1.391523,0.599046,2.08702,0.253932,4.813659,5.65,1.284091,36.45,9.72,0.0,166.75
14166500,2.377269,0.470724,1.844865,0.545077,2.06753,0.118808,9.647189,22.3,4.372549,131.1,32.37037,0.0,130.9
